ClimNo,StasName,Latitude,Longitude,Height,Province
0365398 8,KROONSTAD,-27.6665,27.3136,1440,FREE STATE
0364300 1,WELKOM,-27.9947,26.666,1344,FREE STATE
0399894 4,BOTHAVILLE - BALKFONTEIN,-27.4058,26.5044,1267,FREE STATE
0512746 7,LANSERIA WO,-25.9436,27.9188,1373,GAUTENG
0475605 6,WALTER SISULU NAT. BOTANICAL GARDENS,-26.08,27.85,1520,GAUTENG
0474680 9,CARLETONVILLE,-26.4155,27.4048,1606,GAUTENG
0475879 0,JHB BOT TUINE,-26.1566,27.9991,1624,GAUTENG
0475637 1,ROODEPOORT - KLOOFENDAL,-26.1308,27.8799,1658,GAUTENG
0475528B7,ZUURBEKOM AWS,-26.3008,27.8136,1581,GAUTENG
0438784 3,VEREENIGING,-26.5699,27.9582,1481,GAUTENG
0512554 4,HARTEBEESPOORT DAM,-25.7486,27.8325,1170,NORTH-WEST
0436204 1,KLERKSDORP,-26.8981,26.6209,1329,NORTH-WEST
0473559A3,VENTERSDORP,-26.3123,26.8138,1494,NORTH-WEST
0511399 X,RUSTENBURG,-25.6607,27.2322,1150,NORTH-WEST
0547359 6,LINDLEYSPOORT,-25.5025,26.6963,1245,NORTH-WEST
0511855A9,BUFFELSPOORT II AGR,-25.7539,27.4828,1230,NORTH-WEST
0437104A4,POTCHEFSTROOM,-26.7359,27.0755,1351,NORTH-WEST
0403886A0,FRANKFORT - TNK,-27.2672,28.4946,1509,FREE STATE
0514408AX,BRONKHORSTSPRUIT AWS,-25.8087,28.7386,1394,GAUTENG
0513385A2,IRENE WO,-25.9105,28.2106,1524,GAUTENG
0476399 0,JOHANNESBURG INT WO,-26.143,28.2346,1695,GAUTENG
0513346 0,PRETORIA UNISA,-25.7663,28.2005,1439,GAUTENG
0513435A4,PRETORIA UNIVERSITY PROEFPLAAS,-25.752,28.2585,1380,GAUTENG
0476764 2,SPRINGS,-26.2395,28.4351,1644,GAUTENG
0513369A5,WONDERBOOM AIRPORT,-25.6631,28.2166,1238,GAUTENG
0477309A6,DELMAS WITKLIP,-26.1542,28.6828,1571,MPUMALANGA
0362189 7,BLOEMHOF,-27.6511,25.6219,1225,NORTH_WEST
0472278 0,LICHTENBURG,-26.133,26.1644,1497,NORTH_WEST
0508047 0,MAFIKENG WO,-25.8037,25.5428,1281,NORTH_WEST
0546630 3,MARICO,-25.4718,26.3819,1082,NORTH_WEST
0435019AX,OTTOSDAL,-26.8145,26.0107,1498,NORTH_WEST
0548375A4,PILANESBERG,-25.2573,27.2238,1085,NORTH_WEST
0548290A1,PILANESBERG - AAWS,-25.3342,27.1721,1042,NORTH_WEST
